threshold,precision,recall,f1,predicted_positive_rate
0.79,0.7295918367346939,0.01056910569105691,0.020836368934868132,0.003965684687601166
0.8,0.7349081364829396,0.006898250800689825,0.013668204339654879,0.0025696018128844285
0.81,0.7543859649122807,0.0031781226903178123,0.006329579745344815,0.0011532858530268696
0.82,0.0,0.0,0.0,0.0
0.83,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0
0.87,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0
0.89,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.93,0.0,0.0,0.0,0.0
0.94,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
