model_name,threshold,precision,recall,f1,predicted_positive_rate,predicted_positive_customers
behavioral_only,0.79,0.7138783269961977,0.01850209411185021,0.03606935305700975,0.0070950685227150105,1052
behavioral_only,0.8,0.7182741116751269,0.013944321261394433,0.02735753298854464,0.00531455703032265,788
behavioral_only,0.81,0.7334494773519163,0.0103720128110372,0.020454766300651055,0.0038712636236106616,574
behavioral_only,0.82,0.738498789346247,0.007514166050751417,0.01487696022242275,0.0027854213877198664,413
behavioral_only,0.83,0.7442748091603053,0.004804138950480414,0.009546656222461569,0.001767022768965145,262
behavioral_only,0.84,0.7448275862068966,0.0026607538802660754,0.005302565361482755,0.0009779324484730765,145
behavioral_only,0.85,0.7017543859649122,0.0009854644000985464,0.00196816493222132,0.0003844286176756232,57
behavioral_only,0.86,0.625,0.0002463661000246366,0.0004925380485642516,0.00010790978741771878,16
behavioral_only,0.87,0.8,9.854644000985464e-05,0.00019706860450794433,3.372180856803712e-05,5
behavioral_only,0.88,0.8,9.854644000985464e-05,0.00019706860450794433,3.372180856803712e-05,5
behavioral_only,0.89,0.75,7.390983000739098e-05,0.00014780509434891856,2.6977446854429696e-05,4
behavioral_only,0.9,1.0,4.927322000492732e-05,9.854158454867954e-05,1.3488723427214848e-05,2
behavioral_only,0.91,1.0,2.463661000246366e-05,4.9272006109728756e-05,6.744361713607424e-06,1
behavioral_only,0.92,0.0,0.0,0.0,0.0,0
behavioral_only,0.93,0.0,0.0,0.0,0.0,0
behavioral_only,0.94,0.0,0.0,0.0,0.0,0
behavioral_only,0.95,0.0,0.0,0.0,0.0,0
behavioral_plus_channel,0.05,0.2919848289660235,0.9995319044099532,0.45194637376837343,0.937122315744038,138949
behavioral_plus_channel,0.06,0.29226036969269115,0.9995319044099532,0.45227637563542317,0.9362388043595554,138818
behavioral_plus_channel,0.07,0.2925497775245733,0.9994333579699434,0.4526127292100169,0.9352204057408007,138667
behavioral_plus_channel,0.08,0.2930274566473988,0.9991377186499137,0.45315380747527795,0.9334196611632675,138400
behavioral_plus_channel,0.09,0.2937702019103941,0.9986449864498645,0.45399054723024884,0.9306005179669796,137982
behavioral_plus_channel,0.1,0.2947989924139839,0.997610248829761,0.45511048171375906,0.9263920362576886,137358
behavioral_plus_channel,0.11,0.29635139195239735,0.9963291451096329,0.4568236629709748,0.9203558325240099,136463
behavioral_plus_channel,0.12,0.2985928205735255,0.9943089430894309,0.4592669299134017,0.9115949066580339,135164
behavioral_plus_channel,0.13,0.30161635102193884,0.9907119980290712,0.4624442975016531,0.8991920254667098,133325
behavioral_plus_channel,0.14,0.3054813344530117,0.9858339492485834,0.46642965380580487,0.8834439408654365,130990
behavioral_plus_channel,0.15,0.3105192493833328,0.9800443458980045,0.471611993028963,0.8640066904068199,128108
behavioral_plus_channel,0.16,0.315856,0.9727026361172703,0.47686454496044445,0.843045214200928,125000
behavioral_plus_channel,0.17,0.3216130411896302,0.9633653609263365,0.482235130168831,0.8200064745872451,121584
behavioral_plus_channel,0.18,0.3279134168339219,0.9539541759053954,0.48806035053222663,0.7963944642279055,118083
behavioral_plus_channel,0.19,0.33395046634296294,0.9421039664942104,0.4931075835923094,0.7722833711017589,114508
behavioral_plus_channel,0.2,0.34105280298164514,0.9288248337028825,0.49891155472332316,0.7455419769073055,110543
behavioral_plus_channel,0.21,0.3481498152628519,0.9146587829514659,0.5043334148395685,0.7192052444156685,106638
behavioral_plus_channel,0.22,0.3559814396007175,0.899679724069968,0.5101205526143014,0.691863602028704,102584
behavioral_plus_channel,0.23,0.3635994806880883,0.8831731953683173,0.515124082137058,0.6649401100679831,98592
behavioral_plus_channel,0.24,0.3712588144498832,0.8651638334565164,0.5195629498664733,0.6379424301284127,94589
behavioral_plus_channel,0.25,0.3790292333149476,0.8464892830746489,0.5236056080463274,0.611376389338513,90650
behavioral_plus_channel,0.26,0.3870967741935484,0.8269031781226903,0.5273337156413741,0.5847833711017589,86707
behavioral_plus_channel,0.27,0.3948174038809208,0.8070460704607046,0.5302363224344449,0.559579691378008,82970
behavioral_plus_channel,0.28,0.40153497735279314,0.7862527716186253,0.5315899058882319,0.536041868997518,79480
behavioral_plus_channel,0.29,0.4086272339079551,0.7638580931263859,0.5324300654268198,0.511735189381677,75876
behavioral_plus_channel,0.3,0.4152595026716556,0.740970682434097,0.5322385127901113,0.4884738858314449,72427
behavioral_plus_channel,0.31,0.4222626840652592,0.7199063808819907,0.532302283429425,0.46671657494334734,69201
behavioral_plus_channel,0.32,0.42870957993351466,0.6989898989898989,0.5314601479816428,0.4463418582065393,66180
behavioral_plus_channel,0.33,0.43562146847944794,0.6780734170978073,0.5304564859161037,0.42611551742743065,63181
behavioral_plus_channel,0.34,0.44211679559111583,0.6561714708056171,0.5282846715328468,0.40629383835113847,60242
behavioral_plus_channel,0.35,0.4482553978809935,0.6326927814732692,0.5247392241599493,0.38639122693428296,57291
behavioral_plus_channel,0.36,0.45503267014169296,0.6107908351810791,0.5215305972190083,0.3674598036041869,54484
behavioral_plus_channel,0.37,0.46096281438049685,0.5888149790588815,0.5171033557627815,0.3496816661271177,51848
behavioral_plus_channel,0.38,0.4667860631716053,0.5650652870165065,0.5112453469451441,0.33139095715981437,49136
behavioral_plus_channel,0.39,0.4741968778222165,0.5433111603843311,0.506406723615321,0.3136532858530269,46506
behavioral_plus_channel,0.4,0.4812243323576793,0.5225178615422518,0.5010216977900618,0.29724425380382,44073
behavioral_plus_channel,0.41,0.4875296485301517,0.501330376940133,0.49433370987136976,0.28150291356426027,41739
behavioral_plus_channel,0.42,0.49423510630210576,0.4805124414880512,0.4872771788689993,0.2661527463040898,39463
behavioral_plus_channel,0.43,0.5005089194835807,0.460359694506036,0.4795955033109183,0.2517940002158196,37334
behavioral_plus_channel,0.44,0.5068061936362089,0.4402808573540281,0.47120708748615725,0.237819682745225,35262
behavioral_plus_channel,0.45,0.5139705217469934,0.42010347376201035,0.46232054983935905,0.2237576885723535,33177
behavioral_plus_channel,0.46,0.5208306586211323,0.39977827050997783,0.45234577537423687,0.21012733354915292,31156
behavioral_plus_channel,0.47,0.5284358571721172,0.38137472283813745,0.44301986148474615,0.1975693320384159,29294
behavioral_plus_channel,0.48,0.5361474305277343,0.36267553584626755,0.43267153585022117,0.18517993957051904,27457
behavioral_plus_channel,0.49,0.5425995024875622,0.34392707563439273,0.42100183962121895,0.17351893816769182,25728
behavioral_plus_channel,0.5,0.549472021285441,0.3256220744025622,0.40891652744260876,0.16222887665911298,24054
behavioral_plus_channel,0.51,0.5578152753108349,0.3094850948509485,0.3980985580732055,0.1518830257904392,22520
behavioral_plus_channel,0.52,0.5663330645543803,0.29416112342941614,0.38720347639972114,0.14219137800798531,21083
behavioral_plus_channel,0.53,0.5731071157255001,0.2787878787878788,0.3751056600646391,0.1331674220351786,19745
behavioral_plus_channel,0.54,0.5792957517226413,0.2630450849963045,0.3618034258992562,0.12430533074349844,18431
